序号;股票代码;公司名称;所属组合;一级行业标签;二级行业标签;恒生科技成分股;半导体纯度;代表性/护城河;参考来源
1;0020.HK;商汤 - W;恒生科技30;人工智能;视觉AI平台;是;中低;AI视觉平台与算法产品，属于半导体算力需求的重要下游应用。;https://www.hsi.com.hk/data/schi/rt/index-series/hstech/constituents.do?1
2;0085.HK;中电华大科技;半导体/强相关股票池;半导体;IC设计/安全芯片;否;高;安全芯片客户认证和行业准入壁垒较高。;https://www.tradingview.com/markets/stocks-hong-kong/sectorandindustry-industry/semiconductors/
3;0100.HK;MINIMAX - W;恒生科技30;人工智能;大模型/AI应用;是;中低;大模型和AI应用平台，属于AI算力需求端。;https://www.hsi.com.hk/data/schi/rt/index-series/hstech/constituents.do?1
4;0148.HK;建滔集团;半导体/强相关股票池;AI硬件/电子;PCB/覆铜板材料;否;中;上游化工到覆铜板的一体化能力和规模优势。;https://zh.wikipedia.org/wiki/%E5%BB%BA%E6%BB%94%E9%9B%86%E5%9C%98
5;0179.HK;德昌电机控股;半导体/强相关股票池;汽车零部件/机器人;汽车执行器;否;中;汽车和工业客户认证周期长，精密制造能力稳定。;https://zh.wikipedia.org/wiki/%E5%BE%B7%E6%98%8C%E9%9B%BB%E6%A9%9F
6;0241.HK;阿里健康;恒生科技30;医疗健康;互联网医疗;是;中低;互联网医疗平台，偏半导体应用端。;https://www.hsi.com.hk/data/schi/rt/index-series/hstech/constituents.do?1
7;0243.HK;QPL International;半导体/强相关股票池;半导体;先进封装/封装测试;否;中高;封装工艺、可靠性控制和客户资质带来基础门槛。;https://www.tradingview.com/markets/stocks-hong-kong/sectorandindustry-industry/semiconductors/
8;0285.HK;比亚迪电子;恒生科技30;消费电子;电子制造/汽车电子;是;中低;消费电子和汽车电子制造平台，客户与制造能力形成壁垒。;https://www.hsi.com.hk/data/schi/rt/index-series/hstech/constituents.do?1
9;0300.HK;美的集团;恒生科技30;家用电器;白电/智能家居龙头;是;中低;家电、机器人和工业自动化终端平台，半导体应用规模大。;https://www.hsi.com.hk/data/schi/rt/index-series/hstech/constituents.do?1
10;0303.HK;伟易达;半导体/强相关股票池;消费电子;电子产品制造;否;中低;细分电子产品品牌、渠道和制造管理能力。;https://www.tradingview.com/
11;0501.HK;OmniVision / 豪威集成;半导体/强相关股票池;半导体;IC设计/CIS图像传感器;否;高;CMOS图像传感器产品、客户导入和算法调校经验构成壁垒。;https://www.tradingview.com/markets/stocks-hong-kong/sectorandindustry-industry/semiconductors/
12;0522.HK;ASMPT;半导体/强相关股票池;半导体;后道设备/封装设备;否;高;先进封装、表面贴装设备具备全球客户基础和工艺 know-how。;https://www.tradingview.com/symbols/HKEX-522/
13;0595.HK;AV Concept;半导体/强相关股票池;电子元件;IC/电子元件分销;否;中;代理线、客户资源和供应链服务能力是主要壁垒。;https://www.tradingview.com/markets/stocks-hong-kong/sectorandindustry-industry/semiconductors/
14;0600.HK;Axera Semiconductor;半导体/强相关股票池;半导体;IC设计/AI芯片;否;高;端侧AI芯片需要算法、工具链、场景适配共同积累。;https://www.tradingview.com/markets/stocks-hong-kong/sectorandindustry-industry/semiconductors/
15;0669.HK;创科实业;半导体/强相关股票池;消费电子;智能硬件/电动工具;否;中低;全球品牌渠道、产品迭代和电池平台生态。;https://zh.wikipedia.org/wiki/%E5%89%B5%E7%A7%91%E5%AF%A6%E6%A5%AD
16;0698.HK;通达集团;半导体/强相关股票池;消费电子;精密结构件;否;中;精密结构件制造、客户认证和规模交付能力。;https://www.tradingview.com/
17;0700.HK;腾讯控股;恒生科技30;互联网/AI应用;互联网平台/云AI;是;中低;云、AI和互联网生态平台，算力需求和生态壁垒强。;https://www.hsi.com.hk/data/schi/rt/index-series/hstech/constituents.do?1
18;0732.HK;信利国际;半导体/强相关股票池;消费电子;显示/触控/摄像头模组;否;中;显示和触控模组制造经验、客户资源和规模能力。;https://zh.wikipedia.org/wiki/%E4%BF%A1%E5%88%A9%E5%9B%BD%E9%99%85
19;0751.HK;创维集团;半导体/强相关股票池;家用电器;电视/显示终端;否;中低;显示终端品牌、渠道和制造体系。;https://www.tradingview.com/
20;0759.HK;CEC国际控股;半导体/强相关股票池;电子元件;电子元件渠道;否;中;元件渠道、客户网络和库存管理能力。;https://www.tradingview.com/
