美股代码;美股公司名称;主营细分赛道;赛道判断依据;映射类型;A股对应赛道;A股Top1代码;A股Top1名称;Top1总市值估算(亿元);Top1业务说明;A股Top2代码;A股Top2名称;Top2总市值估算(亿元);Top2业务说明;A股Top3代码;A股Top3名称;Top3总市值估算(亿元);Top3业务说明;市值口径/数据状态;备注
ADBE;Adobe Inc.;创意设计软件/数字媒体工具;Photoshop、Acrobat、Creative Cloud和数字体验软件;直接/较接近映射;创意设计软件/数字媒体工具;688111.SH;金山办公;1300;办公软件、文档协作、AI办公，A股软件龙头;688083.SH;中望软件;120;CAD/CAE工业设计软件，国产设计软件代表;002410.SZ;广联达;180;工程造价/建筑信息化软件，BIM相关;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AMD;Advanced Micro Devices;CPU/GPU/AI加速芯片;CPU、GPU、数据中心AI加速芯片;直接/较接近映射;CPU/GPU/AI加速芯片;688256.SH;寒武纪-U;2800;AI训练/推理芯片与智能计算加速卡;688041.SH;海光信息;3600;国产服务器CPU/DCU加速芯片;300474.SZ;景嘉微;450;图形处理芯片与军工GPU;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ABNB;Airbnb;在线旅游/住宿平台;短租住宿平台，A股无完全同构标的;近似映射;在线旅游/住宿平台;601888.SH;中国中免;1400;旅游零售/免税龙头，旅行消费相关;600754.SH;锦江酒店;300;酒店运营与管理;600258.SH;首旅酒店;180;酒店运营及旅游消费场景;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ALNY;Alnylam Pharmaceuticals;创新药/生物技术;RNAi疗法与罕见病创新药;直接/较接近映射;创新药/生物技术;600276.SH;恒瑞医药;3100;创新药与仿制药龙头;688235.SH;百济神州-U;1700;肿瘤创新药研发与商业化;603259.SH;药明康德;1200;CXO与医药研发服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
GOOGL;Alphabet Class A;互联网搜索/广告/云计算平台;搜索广告、YouTube、云计算、AI平台;直接/较接近映射;互联网搜索/广告/云计算平台;300418.SZ;昆仑万维;500;互联网平台、AI应用与海外社交娱乐;601360.SH;三六零;700;搜索/安全/AI大模型应用，近似映射;002230.SZ;科大讯飞;1100;AI语音与大模型应用平台;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
GOOG;Alphabet Class C;互联网搜索/广告/云计算平台;搜索广告、YouTube、云计算、AI平台;直接/较接近映射;互联网搜索/广告/云计算平台;300418.SZ;昆仑万维;500;互联网平台、AI应用与海外社交娱乐;601360.SH;三六零;700;搜索/安全/AI大模型应用，近似映射;002230.SZ;科大讯飞;1100;AI语音与大模型应用平台;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AMZN;Amazon.com;综合电商/云计算平台;电商、云计算AWS、广告与物流生态;直接/较接近映射;综合电商/云计算平台;002230.SZ;科大讯飞;1100;AI平台与云化软件，近似映射云业务;000977.SZ;浪潮信息;1300;AI服务器与云基础设施;603613.SH;国联股份;250;B2B电商平台，近似映射电商平台;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AEP;American Electric Power;公用事业/电力运营;美国电力公用事业运营商;直接/较接近映射;公用事业/电力运营;600900.SH;长江电力;7200;水电运营，A股公用事业市值龙头;601985.SH;中国核电;1900;核电运营;600025.SH;华能水电;1800;水电运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AMGN;Amgen;大药企/生物制药;生物制药与创新药;直接/较接近映射;大药企/生物制药;600276.SH;恒瑞医药;3100;创新药龙头;600436.SH;片仔癀;1500;中成药与品牌药;600196.SH;复星医药;700;综合医药与创新药;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ADI;Analog Devices;模拟芯片/混合信号芯片;模拟、混合信号和电源管理芯片;直接/较接近映射;模拟芯片/混合信号芯片;300661.SZ;圣邦股份;350;模拟芯片设计;688536.SH;思瑞浦;250;高性能模拟芯片;688052.SH;纳芯微;230;传感器/信号链/汽车模拟芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
